hablante,destinatario,emisión,linea,path
CHI,ADULT,0 .,598,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,599,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
MOT,CHI,&=besa .,632,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
MOT,CHI,&=besa .,634,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
MOT,CHI,&=besa .,636,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,643,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,657,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,658,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,664,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,669,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,674,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,679,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,685,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,690,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,695,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,703,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,704,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
CHI,ADULT,0 .,709,/home/macramole/Code/ciipme/aclew/highvolResults/listos_cha/camilam-a1-nsm.elan.cha
